时间,事件,时期,事件主体等级,详情,来源
2021.7.30,省防汛抗旱指挥部办公室日前发出《告志愿者书》,衰退期,省级,,https://share.hntv.tv/news/0/1421137655948480513
2021.7.31,省防汛抗旱指挥部印发紧急通知 力争转移安置人员一周左右能回家,平稳期,省级,,http://zzb.zhoukou.gov.cn/Article/8962141658.html
2021.8.02,央视新闻发布河南强降雨遇难人数,平稳期,国家级,,http://m.news.cctv.com/2021/08/02/ARTIIbLGecIrIB59AXPnDYpg210802.shtml
2021.8.02,“河南省防汛救灾”第十场新闻发布会召开，省委省政府向遇难同胞表示沉痛哀悼,平稳期,省级,8月2日，省政府新闻办召开“河南省防汛救灾”第十场新闻发布会，发布全省及郑州市、新乡市防汛救灾和抢险救援情况。省长王凯出席发布会并代表省委省政府，向因灾遇难的同胞、向在防汛抢险中牺牲的同志表示沉痛哀悼，向他们的家属和亲人表示慰问。,http://www.scio.gov.cn/xwfbh/gssxwfbh/xwfbh/henan/Document/1710343/1710343.htm
2021.8.04,“河南省加快灾后重建”新闻发布会,平稳期,省级,河南省政府新闻办于8月4日（周三）15：30召开“河南省加快灾后重建”新闻发布会，发布我省灾后情况，并就公众关注问题回答记者提问,http://www.scio.gov.cn/xwfbh/gssxwfbh/xwfbh/henan/Document/1710499/1710499.htm
2021.8.08,省防汛抗旱指挥部将河南防汛I级应急响应调整为Ⅲ级,平稳期,省级,8月8日，记者从河南省应急管理厅获悉，河南省防汛抗旱指挥部印发通知，决定于8月8日10时将河南防汛I级应急响应调整为Ⅲ级。,http://m.news.cctv.com/2021/08/08/ARTIKDfs4GmJUJnblKffalg6210808.shtml
2021.8.09,河南发布灾后重建最新情况：本次洪涝灾害造成直接经济损失1337.15亿元 ,平稳期,省级,8月9日15时30分，河南省政府新闻办召开“河南省加快灾后重建”系列第三场新闻发布会，发布我省灾后重建相关情况，并就公众关注问题回答记者提问。（大河网） 本次洪涝灾害造成直接经济损失1337.15亿元 河南发布灾后重建最新情况  ,http://www.scio.gov.cn/xwfbh/gssxwfbh/xwfbh/henan/Document/1710506/1710506.htm
2021.8.10,新乡卫辉公布蓄滞洪区补偿对象及范围、补偿标准,平稳期,市级,,https://weibo.com/5868009402/Kt4Rr1cpl
2021.8.13,河南省巩义市防指决定自8月13日3:00起启动防汛应急响应至Ⅲ级,平稳期,市级,,https://news.cctv.com/2021/08/13/ARTIkYCMp61yOZWmI8z6PRKt210813.shtml
2021.8.14,河南省防汛抗旱指挥部决定8月14日18时起终止省级防汛应急响应,平稳期,省级,按照《河南省防汛应急预案》有关规定，省防汛抗旱指挥部决定自8月14日18时起终止省级防汛应急响应。据悉，当前我省防洪工程河道、水库水势平稳，无较大汛情和险情。据省气象台预报，近期我省以分散性阵雨天气为主，没有明显大范围强降雨过程。,https://baike.baidu.com/reference/58049502/b41a4Rq28u2G0P3KCgvRA5Rc6B7RX1HG-jtPZHW_RO9XbiNqRq_Uc9rbGDtTDkzQani4LcMKNx8B_zMObPk9CiQSzfLY3PgJu47SDve9xszkgXR0WlRqASTZWQsml_LZNg5W
2021.8.14,河南对受灾地区房屋建筑开展隐患排查整治,平稳期,省级,,https://weibo.com/5868009402/KtqKrg9kR
2021.8.17,李克强看望河南滞洪区受灾群众,平稳期,国家级,,https://weibo.com/5868009402/Ku2UNmOW2
2021.8.19,李克强在河南考察并主持召开灾后恢复重建专题会议,平稳期,国家级,,https://weibo.com/5868009402/KucXFd9Pb
2021.8.20,国务院河南郑州“7·20”特大暴雨灾害调查组全面进驻开展调查工作,平稳期,国家级,,www.gov.cn/xinwen/2021-08/20/content_5632459.htm
2021.8.21,中央气象台发布暴雨橙色预警 河南中部局地有特大暴雨,平稳期,国家级,,http://news.weather.com.cn/2021/08/3488309.shtml
2021.8.21,河南省防汛抗旱指挥部决定自8月21日12时启动防汛Ⅱ级应急响应,平稳期,省级,据河南省气象局预报，8月21日夜间至23日白天，河南省自西向东将有一次区域性强降雨天气过程，局地累计降水量最高或达400毫米。根据当前防汛抗洪形势和《河南省防汛应急预案》有关规定，省防汛抗旱指挥部决定自8月21日12时启动防汛Ⅱ级应急响应。,http://ha.cma.gov.cn/xwzx/qxyw/202108/t20210823_3762641.html
2021.8.21,省防指向强降雨地区派出防汛工作指导组,平稳期,省级,根据防汛救灾工作要求，省防指决定8月21日起向郑州、开封、安阳、鹤壁、新乡、焦作及济源等7个强降雨地区分别派出防汛工作指导组，工作组由省水利厅、省应急厅、省自然资源厅、省委组织部、省纪委监委等部门人员组成。,http://m.news.cctv.com/2021/08/21/ARTIG8deIK4Wg0AoaxHtwTOh210821.shtml
2021.8.21,河南郑州新郑市全市实行停工、停课、停产、停业、停运,平稳期,市级,8月21日，河南省郑州市下辖的新郑市防汛抗旱指挥部发布紧急通告称，8月21日18时至8月23日12时 ，该市全市采取紧急避险措施，除抢险和民生保障人员外，该市全市实行停工、停课、停产、停业、停运。因特殊原因暂时不能停工停产的企业，要及时向该市防汛抗旱指挥部报备，并做好应急防范措施,https://news.cctv.com/2021/08/22/ARTIe5BFwDHqX9Sv5YVhROCN210822.shtml
2021.8.22,郑州市城防办下发交通管制通知,平稳期,市级,8月22日中午，郑州市城防办下发通知，要求城区67座桥涵隧道及23座小型铁路桥涵启动封堵禁行措施、实施交通管制。郑州交警发布消息称，目前京广隧道南中北三段、未来路隧道、红专路隧道等各隧道出入口已封闭，值守人员在岗值守。雨势增强后，郑州交警在辖区涵洞、桥梁、积水点、下穿隧道等重点路口、路段全部安排警力到达，开展交通安保工作，视降雨量情况随时设置警戒带，摆放警示标志牌、反光锥并全力配合相关部门开展排水抢险行动,https://news.cctv.com/2021/08/22/ARTIe5BFwDHqX9Sv5YVhROCN210822.shtml
2021.8.22,郑州市发布暴雨红色预警,平稳期,市级,8月22日午后开始，降水强度明显加强，郑州市发布了最高级别的暴雨红色预警。,http://www.xinhuanet.com/2021-08/22/c_1127784557_6.htm
2021.8.22,河南多县市超过20个暴雨红色预警同时生效,平稳期,市级,河南省气象台在今天13时20分升级发布暴雨红色预警；紧跟着郑州市气象台也于13时30分发布暴雨红色预警信号。根据气象台预报，今天，河南平顶山、漯河、许昌三地区和郑州、开封两地区南部及南阳地区北部、周口地区西部部分地区累积降水量将达100毫米以上。截至今天17时，目前，河南多县市超过20个暴雨红色预警同时生效中。气象台预计，河南最强降雨时段为22日中午到23日前半夜。 ,http://m.news.cctv.com/2021/08/22/ARTI5P3GsTGZAxBXHEW9CzQy210822.shtml
2021.8.22,河南郑州解除暴雨红色预警和雷电黄色预警,平稳期,市级,,https://news.cctv.com/2021/08/23/ARTI1Ua22D98FGEDuCpRJX0E210823.shtml
2021.8.22,最大小时雨强出现在平顶山市鲁山县李沟村为80.4毫米,平稳期,市级,,http://news.weather.com.cn/2021/08/3488436.shtml
2021.8.25,河南省终止省级防汛II级应急响应,平稳期,省级,,https://weibo.com/5868009402/Kv6pjycdZ
2021.8.25,#河南一副镇长因过度劳累不幸牺牲#话题登上热搜,平稳期,-,自7月下旬以来，巩义市鲁庄镇党委委员、副镇长周帅锋同志一直奋战在防汛抢险救灾和灾后恢复重建一线，夜以继日、连续奋战，最终因过度劳累，于8月21日下午突发急性心肌梗死，牺牲在自己最熟悉的岗位上，此时，距离他39岁生日只有7天。,https://www.sohu.com/a/485695248_120914498;https://weibo.zhaoyizhe.com/
2021.8.27,河南民警勇救51人后被洪水冲走又自救登上微博热搜,平稳期,-,,http://henan.china.com.cn/news/2021-08/27/content_41657820.htm
2021.8.29,省防汛抗旱指挥部决定自8月29日11时30分启动防汛Ⅳ级应急响应,平稳期,省级,,https://weibo.com/5868009402/KvGs2vqRl
2021.8.31,河南省特大洪涝灾害灾后恢复重建工作领导小组办公室第一次会议在郑州召开,平稳期,省级,"8月31日，河南省特大洪涝灾害灾后恢复重建工作领导小组办公室第一次会议在郑州召开。会议听取各专项小组牵头单位工作进展情况汇报，就贯彻落实省委、省政府灾后恢复重建工作部署进行了具体安排。

　　省委常委、常务副省长周霁出席会议并讲话。他指出，灾后恢复重建，体现了党中央、国务院对河南人民的关心关爱，是省委、省政府当前最重要最紧迫的政治任务，是事关灾区群众福祉的民生工程、民心工程。各成员单位要提高政治站位，切实增强责任感、使命感、紧迫感，以有力举措抓好工作落实。

　　周霁强调，工作推进要快，要加快编制灾后恢复重建总体规划和各专项规划，确保按既定时间节点完成任务；要根据“民生优先、救急先行”原则，抓紧谋划一批重大重建项目，成熟一批开工一批，尽快形成实物工作量。谋划要细要实，要坚持问题导向、目标导向、效果导向，充分运用“四议两公开”工作法，注重在灾区一线摸需求、理思路、找答案。政策措施要精准，要及时回应群众关切，抓紧完善政策措施，确保出台的政策措施具有较强的针对性和可操作性，切实让灾区群众感受到党中央、国务院的关心关爱。工作质效要高，要坚持条块结合，健全责任体系，做到环环相扣、层层推进，确保各项工作任务落地落实。",http://ha.people.com.cn/n2/2021/0901/c351638-34893158.html
2021.8.31,河南开展灾后重建和企业复工复产安全生产专项检查,平稳期,省级,,https://weibo.com/5868009402/Kw1UPfpFH
